namecity,lat,lng,namecountry
Gudarah,34.8169,69.0878,Afghanistan
Andkhoy,36.9500,65.1167,Afghanistan
Kotah-ye `Ashro,34.4492,68.7939,Afghanistan
Bagrami,34.4911,69.2756,Afghanistan
Bala Koh,36.5753,66.8203,Afghanistan
Khulm,36.6833,67.6833,Afghanistan
Khanabad,36.6831,69.1636,Afghanistan
Hukumati Baghran,33.0669,65.0917,Afghanistan
Sheghnan,37.6167,71.4500,Afghanistan
Baraki Barak,33.9692,68.9447,Afghanistan
Sangin,32.0733,64.8339,Afghanistan
Qal`ah-ye Zal,37.0150,68.4672,Afghanistan
Karukh,34.4922,62.5922,Afghanistan
Kushk,33.2956,61.9522,Afghanistan
Qarqin,37.4128,66.0472,Afghanistan
Islam Qal`ah,34.6667,61.0667,Afghanistan
Zarah Sharan,33.1300,68.7800,Afghanistan
Baraki,33.9333,68.9167,Afghanistan
Taywarah,33.5100,64.4200,Afghanistan
Zarghun Shahr,32.8500,68.4167,Afghanistan
Kuhsan,34.6500,61.1667,Afghanistan
Hukumati Gizab,33.3813,66.2655,Afghanistan
Panjab,34.3833,67.0167,Afghanistan
Imam Sahib,37.1844,68.9144,Afghanistan
Mama Khel,34.2500,70.0100,Afghanistan
Tujg,32.0686,61.8058,Afghanistan
Deh-e Shu,30.4344,63.3183,Afghanistan
Chichkah,37.0706,69.2983,Afghanistan
Tirana,41.3289,19.8178,Albania
Vlore,40.4667,19.4833,Albania
Kamez,41.3833,19.7667,Albania
Fier,40.7250,19.5572,Albania
Durres,41.3111,19.4392,Albania
Shkoder,42.0681,19.5119,Albania
Elbasan,41.1111,20.0806,Albania
Korce,40.6167,20.7667,Albania
Berat,40.7000,19.9500,Albania
Gjirokaster,40.0667,20.1333,Albania
Lezhe,41.7819,19.6444,Albania
Kukes,42.0833,20.4167,Albania
Peshkopi,41.6833,20.4281,Albania
Sarande,39.8750,20.0100,Albania
Lushnje,40.9333,19.7000,Albania
Kavaje,41.1842,19.5619,Albania
Pogradec,40.9000,20.6500,Albania
Fushe-Kruje,41.4833,19.7167,Albania
Lac,41.6353,19.7131,Albania
Sukth,41.3833,19.5333,Albania
Bucimas,40.8917,20.6806,Albania
Patos,40.6833,19.6167,Albania
Kucove,40.8039,19.9144,Albania
Librazhd-Qender,41.1969,20.3356,Albania
Kruje,41.5000,19.8000,Albania
Burrel,41.6083,20.0111,Albania
Gramsh,40.8667,20.1833,Albania
Perondi,40.7833,19.9333,Albania
Libonik,40.7500,20.7167,Albania
Belsh,40.9833,19.8833,Albania
Rreshen,41.7667,19.8833,Albania
Librazhd,41.1833,20.3167,Albania
Permet,40.2333,20.3500,Albania
Bajram Curri,42.3581,20.0758,Albania
Tepelene,40.2967,20.0189,Albania
Erseke,40.3333,20.6833,Albania
Corovode,40.5000,20.2167,Albania
Puke,42.0500,19.9000,Albania
Algiers,36.7539,3.0589,Algeria
Oran,35.6969,-0.6331,Algeria
Constantine,36.3650,6.6147,Algeria
Blida,36.4722,2.8333,Algeria
Batna,35.5500,6.1667,Algeria
Setif,36.1900,5.4100,Algeria
Djelfa,34.6667,3.2500,Algeria
Annaba,36.9000,7.7667,Algeria
Sidi Bel Abbes,35.2000,-0.6333,Algeria
Biskra,34.8500,5.7333,Algeria
Tebessa,35.4000,8.1167,Algeria
Tiaret,35.3667,1.3167,Algeria
Bejaia,36.7511,5.0642,Algeria
Tlemcen,34.8828,-1.3167,Algeria
Bordj Bou Arreridj,36.0667,4.7667,Algeria
Skikda,36.8667,6.9000,Algeria
Bechar,31.6333,-2.2000,Algeria
El Eulma,36.1528,5.6900,Algeria
Chlef,36.1647,1.3317,Algeria
Souk Ahras,36.2864,7.9511,Algeria
M'Sila,35.7058,4.5419,Algeria
Mostaganem,35.9333,0.0833,Algeria
Medea,36.2675,2.7500,Algeria
Tizi Ouzou,36.7169,4.0497,Algeria
El Oued,33.3683,6.8675,Algeria
Laghouat,33.8000,2.8650,Algeria
Jijel,36.8206,5.7667,Algeria
Ouargla,31.9500,5.3167,Algeria
Relizane,35.7372,0.5558,Algeria
Saida,34.8303,0.1517,Algeria
Guelma,36.4619,7.4258,Algeria
Ghardaia,32.4833,3.6667,Algeria
Ain Beida,35.7964,7.3928,Algeria
Khenchela,35.4167,7.1333,Algeria
Bou Saada,35.2083,4.1739,Algeria
Mascara,35.4000,0.1333,Algeria
Messaad,34.1542,3.4969,Algeria
Ain Oussera,35.4489,2.9044,Algeria
Oum el Bouaghi,35.8706,7.1150,Algeria
El Bayadh,33.6831,1.0192,Algeria
Dar el Beida,36.7142,3.2125,Algeria
Ain Temouchent,35.3044,-1.1400,Algeria
Tamanrasset,22.7850,5.5228,Algeria
Tissemsilt,35.6072,1.8106,Algeria
Bouira,36.3800,3.9014,Algeria
Adrar,27.8742,-0.2939,Algeria
Boudouaou,36.7300,3.4100,Algeria
Tindouf,27.6753,-8.1286,Algeria
Boumerdes,36.7603,3.4724,Algeria
El Golea,30.6000,2.9000,Algeria
Touggourt,33.1000,6.0667,Algeria
Timimoun,29.2500,0.2333,Algeria
I-n-Salah,27.1936,2.4606,Algeria
El Tarf,36.7669,8.3136,Algeria
Tipasa,36.5942,2.4430,Algeria
Illizi,26.5080,8.4829,Algeria
Bordj Mokhtar,21.3289,0.9542,Algeria
Naama,33.2678,-0.3111,Algeria
